username,text
mohadese__ansarii,به به چه پست خوبی مرسی یلدا ❤️(البته من خیلی وقته دیتمو رفتم)😂
mohadese__ansarii,عه اولین کامنتم😢
marzi.so,😂😂
sarafakhari1,@maryam_i_18 😂😂👏
bahar_plz,❤️❤️👏
yaldarta,@mahshad_reza_zade بستگی به خودت داره. تجربه های خوب زیاد بوده اینجا در کنار تجربه های شکست خورده.
it3ara,@faribayezamani 😍چقدر خوشحال شدم براتون. کامنتاتونو تو پستای قبلی دیت یابی خونده بودم. بهترینا رقم بخوره براتون.
shadi.eco,ایشالا که بچه ها کیس دلخواهشونو پیدا کنن به ما هم باقلوا بدن😃🙃
sadaf.88887,سلام روزتون به خیر و نیکی. من صدفم از تهران بیست و پنج سالمه و دانشجوی ارشد حقوقم دانشگاه شهید بهشتی .راستی اسم و ایدی فیکه. قدم صدو شصت و پنج و وزنم پنجاه و هشت .میگم یه جوری نیست ادم اول بسم الله قد و وزن بده؟😅از ظواهر بگذریم، مهم ترین چیزی که دوست دارم تو پارتنرم باشه اینه که ازش یاد بگیرم، لذت ببرم از حرف زدن و هم نشینی باهاش، البته خب قد و هیکلشم مهمه دیگه. تیپ من معمولا افراد اهل مطالعه، صبور و بخشنده و با محبت و احساساتی و گوگولیه . یکی از اصولم اینه که برای رابطه توجه و زمان و انرژی میذارم پس انتظار دارم متقابلا اینا رو بگیرم از طرفم. دوست دارم صمیمیت در طول زمان و اروم ایجاد بشه. خط قرمزم تو رابطه احترام متقابل و شفافیت و توجهه.در مورد خودم، با پدر و مادر کار میکنم. میانگرا هستم و تو معاشرت گزینشگرم یه جورایی. ادم ملایمی ام ولی اگه احساس کنم طرفم فرد کنترلگریه یکم عصبی میشم. عصبانیت هامم در حدیه که نهایتا صدام یکم بره بالا، دهنم به فحش باز نمیشه خدایی، پس اگه ادم فحش پسندی هستین من یکم سوسولم تو این زمینه. بیشتر ثبات رو میپسندم و محتاطم. معمولا پرانرژیم و دوست دارم بگیم بخندیم، ولی گاهیم کنج دنج و اروم خودم رو دارم‌.خجالتیم در ابتدای معاشرت. تفریحاتم کافه گردی و مطالعه و فیلم و بیرون رفتن با دوستامه. سفر نمیتونیم بریم باهم باید ببخشین😁. طبیعت گردی و دور دور با ماشین و سینما و تئاتر رفتن و بعدش تحلیل اون چیزی که دیدیم رو که عاشقشم. دیوونه برف و بارونم، هنرو دوست دارم.از ورزش فقط پیاده روی.موسیقی بیکلامو ترجیح میدم. از لحاظ مذهبی به خدا اعتقاد دارم، گاهی دعا میکنم. حالا از اون ور نه اهل نماز و روزه ام نه اهل مشروب و مهمونی. حد متعادل خودمو رعایت میکنم تو پوشش. رابطه لانگ دیستنس نمیخوام. اگر خیلی خوب پیش رفتیم جدی کردنش ته ذهنمون باشه بلند مدت. فعلا هم قصد مهاجرت ندارم تا ببینیم چی میشه. دوست دارم قدم به قدم برای اینده تصمیم بگیریم و معمولا برنامه های بلند مدت تر از یکسال برای زندگیم نمیچینم. مرسی که خوندین
shadi.eco,این کامنتا در حین خوندن ۱۹۸۴حکم شماعی زاده داره برامون😂
fatemeh.ghasemi19.93,فاطمه 28ساله،پرستارم،خودم رو در شرایطی میبینم که آماده ی یه رابطه ی درست و سالمم، مخالف لانگ دیستنس نیستم چون معتقدم گاهی با مدیریت و همراهی دو طرف میشه بر مصائب لانگ دیستنس فائق آمد..😅 ساکن تبریزم
sedna.sakh,سلام ۳۷ سالمه فوق لیسانس مهندسی دارم ساکن تهرانم شاغلم .اهل کتاب و سفر رفتنم اعتقادات مذهبی دارم و برام مهمه و دوست دارم با کسی اشنا بشم که حرف مشترک زیادی باهاش داشته باشم هدفمند باشه و با اخلاق باشه
___zahra72__,"In previous posts, I wrote about myself, but the experience was not good. I think the maturity of this model of relationship does not exist in our society. Unfortunately most of the guys suffer from personality instability. So girls I’m telling you BE CAREFUL 🙌."
nazanin681400,"۳۲ سالمه و ساکن غرب استان تهران یه جورایی نزدیک کرج
قدم ۱۷۰
قصد مهاجرت دارم ولی هنوز اقدام جدی ای براش انجام ندادم
رابطه راه دور هم تو این سن برام مفهومی نداره 
اهل سفر و طبیعت گردی ام یکی از رویاها و اهدافم اینه که ون لایف رو برای مدتی تجربه کنم و اگر اهلش بودم به عنوان سبک زندگی ادامه ش بدم 🙂 ده ساله که جسته گریخته سفر کردم
از کوله گردی تا سفر با دوچرخه
معاشرت با آدم ها و جامعه محلی، عکاسی و فیلمبرداری و تولید محتوا و کشف و ماجراجویی چیزی هست که باعث میشه سفر رو دوست داشته باشم و دنبالش باشم
همونقدر که آروم و کم حرفم، شیطونم و پر حرفم بستگی به جمعش داره 🙂
همونقدر که اهل خلوت و تنهایی و دونفره بودن هستم، اجتماعی هستم و اهل مهمونی و بپر بپر و رقص و هیجانم 
سفر یکی از بزرگترین اولیت های زندگیمه و ترجیح میدم تو هر فرصتی که پیدا میکنم سفر کنم 
همیشه بین دو راهی درونگرایی و برونگرایی در رفت و آمدم 
مذهبی و سنتی نیستم و ترجیح میدم طرف مقابلم هم اینجوری نباشه 🙂
بقیه منو آدم مهربون و هنری و رنگی رنگی پوش و خونگرم و اجتماعی ای میدونن و معمولا با این صفات ازم یاد میکنن"
yaldarta,@shadi.eco اره والا 😂
m.i1365,اوه منو این همه خوشبختی محاله
mahsa.ramii,آخیییی بازم کلی کامنت قشنگ قشنگ میخونیم😍
_minstagraam_,چه باحال
z_sabeti_1985,@maryam_i_18 😂👍
baharakrshn,@maryam_i_18 😂
darya._12630,چقد قشنگین😍
yaldarta,@darya._12630 😍😍
setareh_sh742,سلام ستاره هستم  معلم ابتدایی 27 ساله اهل کرمانشاه. اهل کتاب، موسیقی، شعر، به خصوص ورزش کردن، هم درون‌گرا هم برون‌گرا... در عقاید مذهبی هم نرمال هستم... اهل مسافرت رفتن و طبیعت رفتن. و چیزای دیگه. 😎😍
mahdi.khoshghamat,"سلام. من مهیارم از مشهد، البته اسمم توی شناسنامه مهدی است. روانشناسی خوندم و بیست و هشت سالمه. 
شوخ طبعم و پرانرژی ولی همون قدر هم آرام و علاقه مند به مسائل فلسفی. 
نقد زیادی به مذهب، سیاست و عرف جامعه ی ایرانی دارم و عمیقا به بی ارزشی دنیا اعتقاد دارم و آموخته ام در لحظه زندگی کنم و از هر ثانیه عمرم لذت ببرم. 
از آدم های سطحی دور هستم و آن ها را با پول، قدرت و شهوتی که دنبالش هستند، تنها می گذارم. 
صداقت، صمیمیت و تعهد از ارزش های اساسی من در رابطه است، اگر دنبال این چنین رابطه ای هستید خوش حال میشم بیشتر باهاتون آشنا بشم. 🌻🌻🌻"
68.samira.nezami,@miladrhti لطفا تنبل نباش.آفرین😁
nowandmemory,@nowandmemory ضمنن پیج ام فیکه . فقط یه لُر که با سبک افکار لرستان آشناست میدونه میتونه درک کنه چرا با پیج فیک اومدم 😂🤦🏻‍♀️
_minstagraam_,خوندن کامنتا چقد کیف میده. بعضیا چقد بانمک خودشونو معرفی میکنن
mahshad_reza_zade,نتیجه هم داره ؟
68.samira.nezami,@miladrhti داغِ داغ تازه از تنور درومده😉
mohammadnazeri02,محمد هستم متولد فروردین هفتاد. ساکن تهران. لیسانس مهندسی مکانیک خوندم و چند سال صنعت کار کردم ولی بعدش روزنامه نگار شدم و ارشد مطالعات آمریکای شمالی خوندم. دو سالی هست خودم سایت دارم و یه مجموعه رو مدیریت می‌کنم. برخوردهای عادیم تو رابطه بیشتر با شوخی و خنده هست و زمان‌های خاصی دوست دارم حرف عمیق بزنیم و کیفیت رابطه رو بررسی کنیم. دوست دارم با یارم رفیق صمیمی باشیم و راحت حرفامونو بزنیم. با شنیدن درد دل و حتی غر هم اکیم و بخشی از رابطه میدونمش. حتی اگه طرفم دید منفی به جهان داشته باشه مشکلی ندارم ولی برام مهمه تو ذوق هم نزنیم و تا جای ممکن تو زندگی خوش باشیم. وضع مالی خوبی دارم ولی اهل زندگی خیلی تجملاتی نیستم. کتاب زیاد میخونم و نویسندگی، تئاتر و موسیقی رپ دوس دارم. ظاهر برام مهمه و بهتره محل سکونتمون نزدیک باشه و کوچیکتر یا همسن خودم باشه.
_aatenaa_,@sadafmasnavi
