username;text
miss_zeinab.f;👏👏👏👏
rokhsarekarimidastjerdi;دکتر فهمیمه رمضانی تهرانی
naghmehsa;دکتر مژگان کرم نیای فر
mina.osia;دکتر رفعت بنافتی. ساری
minoo_mzn;دکتر مریم پزشکیان، مشهد
diet_drakbari;👌🏻💯
jichko._;سارا نیک فرجام-اهواز
dr.maedeh_jafari;خانم دکتر مهتاب مستشار تهران، تمام این گزینه هارو داره جز گزینه ی آخر که من تجربه شو نداشتم و نمیدونم نظرش درمورد ورزش تو بارداری چیه.
elham.elyana1;دکتر زهرا شمالی شیراز،بی نظیرن😍😍
atefe_mohamadi24;خیلی ادم حسابی و دلسوزی هستی هدای عزیز که همچین حرکت مثبتی رو انجام دادی ...تن خودت و خانوادت سلامت و موفق باشی...❤️
saeideh.khaledi;دکتر تمیزی در شهر بیرجند ۴ مورد اول رو کاملا پایبند بودن از دو مورد آهر اطلاعی ندارم ❤️
eng_samavat;دکتر صدیقه حنطوش زاده
naeimeh.gh;دکتر زهرا شهشهان _اصفهان
raheleh_kh69;دکتر خانم‌پیشوا شیراز.یه وقتایی چنتا رو باهم میفرستاد تو اتاق.اما درکل خیلی دلسوز و مهربون و با دقت برای بیمار بود.
sara_3ara1984;دکتر انوشیروانی بیمارستان پارس تهران
hanieh_ramezanian96;دکتر تیمورزاده و دکتر ارندی-مشهد_عااالی هستن واقعا فوق‌العاده ان👌👌👌فقط من مورد۵رو نمیدونم دارن یانه
hanieh_hezaveh;خانم دکتر نیلوفر فرهنگی، تهران میدان هروی
fara_bakhshi_;خانم دکتر افسانه لالویی. تهران کارگر شمالی
bahare.past;دکتر رضا نصر،تهران
fugetive_98;چرا باید فرشته حقیقت توی همچین لیستی باشه؟؟؟؟ اون که فقط احساس شرم میده به ادم بخاطر اندامت. صد نفر صد نفر هم میفرسته داخل صد ساعتم باید منتظر بمونی نوبتت بشه 🤷🏻‍♀️
delshadroshanak;اینجا توی رشت بیشتر پزشکهای زنان مورد دوم رو رعایت نمیکنن و چند نفری داخل اتاق میبرن خانمها رو متاسفانه🥴
mina205;آقای دکتر وحید یزدی در تهران همه این شرایط رو دارند و من سالهاست پیش ایشون میرم و به هر کسی هم‌ معرفی کردم راضی بودن
eli_shk1374;دکتر نرگس توکلی_ تهران
mona.rajabalian;آقای دکتر هدایتی - کرج / آقای دکتر بیاتی بیمارستان تهران کلینیک تهران /
raheleh_kh69;هدی عزیزم بابت همه زحماتی که برای آگاهی ما میکشی ازت ممنونم.❤️
fugetive_98;وای من دبستان یه دوستی به این اسم داشتم نکنه دکتر شده بلا😍
farnazzaeem;خانم دکتر تاج الدینی، تهران
jafarikhadije;@dr_amenehfijan
niloukarami;@dr_poopak_yahyavi صبور و دقیق هستن
solale_rezaeii;خانم هدی طبرستانی(متخصص زنان)_ساری
bodybyfafa;من هر دکتر زنانی رفتم همه این شرایط داشتن
samira112460;لادن حقیقی تهران
lili.13966;خانم دکترابیانه تهران بسیارباادب وتمام شرایط وداره
shehni_beauty_center;توی اهواز همچین دکتری وجود نداره
morvarid.askari;دکتر شادی دانشور تمام این گزینه ها رو دارن و عالین
dew.smsh;تهران - دکتر مریم صداقت
zarnazaminian;خانم دکتر آزاده رضایی بینهایت مهربون، انسان و کاردرست
zramezani1994;من مه نمیشناسم همچین کسی اصلا😐
sab.ka.2021;@eididr بهترین دکتر کرج و تهران
rojataqvaee;دکتر مهتاب زینال زاده از بابل که معرفی کردین همه شرایط رو داشتن بجز مورد 2 که البته در اتاق های کنار هم مراجع دارن و آدم‌ها همو نمیبینن اما خب صدای همو میشنون و این منو یکم معذب می‌کرد.
sab.ka.2021;@sab.ka.2021 خانم دکتر رقیه عیدی
shehni_beauty_center;همه گله اییدمیبرن تو اتاق سریع میگن چکاب که پول بگیرن
mehrafshan_zahednia;خانم دکتر زهرا خواجه حسینی ،مازندران نور،باسواد ،با اخلاق،به حرف بیمار کاملا گوش میده ،دنبال پول دراوردن اضافه بابت عمل جراحی نیست😍😍😍
hanie.hasani;دکتر منصوره پاکدامن،مشهد،دقیقا همه این ویژگی ها رو دارن
taraneh68.r;دکتر ساره فاطمه دوست و نجمه سمیعی شیراز
